 5  2  7  14.78
 5  2  8  16.38
 5  2  9  17.67
 5  2 10  18.37
 5  2 11  19.21
 5  2 12  19.63
 5  2 13  19.86
 5  2 14  19.74
 5  2 15  19.03
 5  2 16  17.39
 5  2 17  14.98
 5  2 18  13.31
 5  2 19  12.33
 5  2 20  11.65
 5  2 21  11.64
 5  2 22  11.91
 5  2 23  11.85
 5  3  0  11.50
 5  3  1  10.99
 5  3  2  10.19
 5  3  3   9.45
 5  3  4   9.01
 5  3  5  10.65
 5  3  6  13.07
 5  3  7  14.62
 5  3  8  15.63
 5  3  9  15.67
 5  3 10  14.54
 5  3 11  12.38
 5  3 12  11.88
 5  3 13  12.67
 5  3 14  13.98
 5  3 15  13.88
 5  3 16  13.20
 5  3 17  12.15
 5  3 18  11.19
 5  3 19  10.56
 5  3 20  10.40
 5  3 21  10.18
 5  3 22  10.30
 5  3 23  10.31
 5  4  0  10.12
 5  4  1  10.09
 5  4  2  10.00
 5  4  3   9.88
 5  4  4   9.88
 5  4  5   9.94
 5  4  6  10.11
 5  4  7  10.82
 5  4  8  12.51
 5  4  9  13.93
 5  4 10  13.60
 5  4 11  14.24
 5  4 12  14.09
 5  4 13  14.99
 5  4 14  14.38
 5  4 15  14.22
 5  4 16  13.61
 5  4 17  12.64
 5  4 18  12.05
 5  4 19  11.80
 5  4 20  11.35
 5  4 21  11.14
 5  4 22  10.88
 5  4 23  10.81
 5  5  0  10.69
 5  5  1  10.26
 5  5  2   9.75
 5  5  3   9.35
 5  5  4   8.91
 5  5  5  10.48
 5  5  6  12.83
